iter	Passed	Remaining
0	6	6538
1	13	6501
2	19	6399
3	24	6211
4	30	6041
5	35	5935
6	41	5848
7	46	5745
8	51	5703
9	57	5653
10	62	5597
11	67	5595
12	73	5542
13	78	5515
14	83	5482
15	88	5465
16	94	5464
17	99	5446
18	105	5430
19	110	5409
20	115	5387
21	120	5377
22	126	5353
23	131	5340
24	136	5329
25	142	5342
26	148	5369
27	154	5373
28	160	5388
29	166	5373
30	171	5364
31	177	5359
32	182	5353
33	188	5344
34	193	5331
35	198	5320
36	203	5308
37	209	5295
38	214	5286
39	220	5284
40	225	5276
41	231	5270
42	236	5266
43	242	5258
44	247	5244
45	252	5233
46	257	5226
47	263	5217
48	268	5210
49	273	5205
50	279	5195
51	284	5194
52	290	5184
53	295	5173
54	300	5162
55	305	5147
56	310	5138
57	315	5128
58	321	5122
59	326	5117
60	331	5106
61	336	5096
62	342	5100
63	348	5096
64	354	5093
65	359	5083
66	364	5072
67	369	5060
68	374	5050
69	380	5054
70	386	5059
71	392	5057
72	398	5060
73	404	5065
74	411	5071
75	417	5075
76	422	5069
77	428	5068
78	434	5065
79	440	5063
80	445	5057
81	451	5052
82	456	5045
83	463	5050
84	468	5043
85	475	5048
86	481	5051
87	486	5044
88	492	5041
89	498	5044
90	505	5044
91	510	5035
92	515	5029
93	521	5028
94	527	5021
95	532	5016
96	538	5009
97	545	5020
98	550	5014
99	556	5007
100	561	5001
101	568	5002
102	573	4997
103	579	4991
104	586	4995
105	592	4996
106	598	4993
107	604	4992
108	610	4992
109	616	4985
110	622	4982
111	627	4976
112	634	4978
113	640	4975
114	645	4969
115	651	4965
116	657	4958
117	662	4950
118	667	4944
119	673	4937
120	678	4931
121	684	4926
122	690	4920
123	695	4914
124	701	4908
125	706	4902
126	712	4896
127	717	4888
128	722	4877
129	728	4873
130	733	4867
131	739	4861
132	745	4857
133	751	4853
134	757	4855
135	763	4848
136	768	4840
137	773	4831
138	778	4822
139	783	4815
140	789	4811
141	795	4804
142	800	4798
143	805	4790
144	811	4783
145	816	4776
146	822	4770
147	827	4762
148	832	4756
